aowu    ┗<(=｀O′=)>┛
pia    (￣ε(#￣)☆╰╮o(￣▽￣///)
pia    Pia!(ｏ ‵-′)ノ”(ノ﹏<。)
piao    (～o￣3￣)～
piao    (～￣▽￣)～
piao    .....((/- -)/
piao guo    .....((/- -)/
ppr    ︿(￣︶￣)︿
pu    (/≧▽≦)/
qian    $_$
qiang    ▄︻┻┳═一……
qi chuang    ※=○☆(＿＿*)Ｚｚｚ
qi dai    (☆▽☆)
qi dai    [期待] (☆▽☆)
qie    (¬､¬)
qie    (ˉ▽￣～) 切~~
qie    (ーー゛)
qie    ~~( ﹁ ﹁ ) ~~~
qie    ╮(￣▽￣)╭
qie    切~~( ﹁ ﹁ ) ~~~
qie    ￢_,￢
qi lai    ٩(๑`^´๑)۶
qin    ( ˘ ³˘)♥
qin    ლ(｡◕ˇε ˇ◕。ლ)
qin    ◕ˇε ˇ◕
qin    ♪(´ε｀ )
qin    （づ￣3￣）づ╭❤～
qing    ( ^ ^) _U~~
qing mie    (´ｰ∀ｰ`)
qin qin    (* ˘ ³˘)♡
qin qin    (* ￣)(￣▽￣*)ゞ[亲亲]
qin qin    [亲亲]o(*￣3￣)o
qin qin    o(*￣3￣)o
qiu qiu ni    (っ´Ι`)っ
qu    (ーー゛)
qu    φ(-ω-*)
quan    (╬￣皿￣)＝○＃(￣＃)３￣)
qu si    (-__-)=@))> o<)
qu si    (/"≡ _ ≡)/~┴┴
qu si    (ノ‥)ノ‥‥〓〓〓〓☆ピーーーー
ruo    (。・・)ノ
ruo ruo    (。・・)ノ
sa hua    *★,°*:.☆(￣▽￣)/$:*.°★* 。
sa hua    ‧★,:*:‧\(￣▽￣)/‧:*‧°★*
sa hua    撒花！(￣▽￣)o∠※PAN!=.:*:'☆.:*:'★':*
sa hua    撒花！*★,°*:.☆\(￣▽￣)/$:*.°★* 。
san dan    ▄︻┻┳═一∵∴∷∶∵ (∵_,∵)>>>>
san jiao    ▲
san jiao    △
shan    =└(┐卍^o^)卍
shan    |(•_•) |•_•) |_•) |•) | )
shan    ✧(≖ ◡ ≖✿)
shang    ↑
shang xin    (；′⌒`)
shan ren    (*￣▽￣)(￣▽:;.…::;.:.:::;..::;.:...
she na    ~(￣0￣)/
she na    神啊~\(￣0￣)/
sheng dan    *<|:-) 
sheng qi    (ー`´ー)
sheng qi    <(－︿－)>
sheng qi    （｀へ´）
shen me dong xi    ( ｀д′)
shen me shi    (‧_‧？)
she quan    z(-_-z)).....((s-_-)s
she shi du    ℃
shi    ◟(⁰𠆢⁰∗)
shi    ヽ(•̀﹏•́ )ゝ
shi a    (ﾟｰﾟ)
shi a    ヾ(＠⌒ー⌒＠)ノ
shi a    ﾟ∀ﾟ
shi a shi a    ヾ(＠⌒ー⌒＠)ノ
shi bu shi ni    (σ｀д′)σ
shi bu shi ni    [是不是你?!](σ｀д′)σ
shi hua    ━━∑(￣□￣*|||━━
shi huai    ԅ(¯﹃¯ԅ)
shi luo    ( ◞‸◟)
shi luo    (。_。)
shi luo    (｡í _ ì｡)
shi ma    (￣m￣）
shi ma    о∀о
shi ma    ⊙▽⊙
shuai    (′д｀ )…彡…彡
shui jiao    (¦3ꇤ[▓▓]
shy    o(*////▽////*)q
shy    shy~ o(*////▽////*)q
si ba    ´･∀･)乂(･∀･｀
si ba    ┴┴︵╰（‵□′）╯︵┴┴
sigh    ( ′ 3`) sigh~
soga    ▔▽▔
tai bang le    ヾ（≧∇≦）〃
tai bang le    ㄟ(≧◇≦)ㄏ
tai ke pa le    ヽ(*。>Д<)o゜
tang qiang lv    _(:驴」∠)_
tang qiang ma    _(:马」∠)_
tan shou    ┑(￣Д ￣)┍
tan shou    ╮(╯-╰)╭
tan shou    ╮(－_－)╭
tan shou    ╮(￣▽￣")╭
tan shou    ㄟ( ▔, ▔ )ㄏ
tao    ε=ε=ε=┏(゜ロ゜;)┛
tao    …（⊙＿⊙；）…
tao    ヽ(ﾟ∀ﾟ*)ﾉ━━━ｩ♪
tao a    ( ￣ ▽￣)o╭╯☆#╰( ￣﹏￣)╯
tao ming    \("▔□▔)/\("▔□▔)/ [逃命啊~~]
tao pao    ～（□`）～
tao yan    (ノω<。)ノ))☆.。
tao yan    (ノω<。)ノ))☆.。讨厌啦~
tao yan    ＼(゜ロ＼)(／ロ゜)／
tao zui    ( *︾▽︾)
tao zui    [陶醉]( *︾▽︾)
tat    (ノへ￣、)
tat    o(TヘTo)
tat    o(≧∩≦)o
thx    ☆⌒(*＾-゜)v THX!!
ti    <( ￣^￣)(θ(θ☆( >_<
ti    ヽ(ヽ `д′)ヽ`д′)ヽ`д′)┌┛┌┛┌┛★)`з゜)y
tian a    ♪(´∇`*)
tiao shi    ( *^-^)ρ(*╯^╰)[不吃!]
tong ku    ≧︿≦
tong ku    ＞﹏＜
tong yi    (。・∀・)ノ
tou kan    (/ω＼*)……… (/ω•＼*)
tou kan    [偷看](/ω·＼*)
tou kan    [偷看](/ω＼*)……… (/ω·＼*)
tou kui    ┬┴┤_•)
tou xiang    ٩(͡๏̯͡๏)۶
tou xiang    ٩͡[๏̯͡๏]۶
tou xiang    ┗( T﹏T )┛
tou xiang    ┗( T﹏T )┛[举手投降]
tu    ( >ρ < ”)
tui dao    (ﾉ*･ω･)ﾉ
tun    0＾）吞！
tuo zou    ヽ(゜▽゜　)－C<(/;◇;)/~
tuo zou    ヽ(゜▽゜　)－C<(/;◇;)/~[拖走]
tu she tou    (￣┰￣*)
wa    (☆＿☆)
wa    ╰(*°▽°*)╯
wa    ❀‿❀
wa bi shi    (*￣rǒ￣)
wa bi shi    [挖鼻屎] (*￣rǒ￣)
wa ka ka    <(￣▽￣)/
wan an    0(^o^)~~YA(^0^)~~SU(^○^)~~MI(^_^)
wan an    お(ノ￣0￣)ノや（o￣ ・￣）oす(。＿　＿)。みZZzzzz…
wan shang hao    ￣O￣)ノ　
wan shang hao    ￣O￣)ノ　こんばんは
wan sui    万岁！*★,°*:.☆\(￣▽￣)/$:*.°★* 。
wan sui    ！*★,°*:.☆(￣▽￣)/$:*.°★* 。
wc    ∥WC||_·)╯去下厕厕……
wei    (#`O′)
wei    喂！(#`O′)
wei fan    ( *^-^)ρ(*╯^╰)[不吃!]
wei fan    ( *^-^)ρ(^0^* )
wei fan    [喂饭]( *^-^)ρ(^0^* )
wei guan    (← ← )围观！
wei guan    (﹁"﹁)
wei guan    围观！( → →)
wei nan    ಠ__ಠ
wei qu    ╥﹏╥...
wei suo    (o´∀｀)
wei xiao    ◕‿◕
wen bie    (*￣;(￣ *)
wen bie    [吻别](*￣;(￣ *)
wo    (*゜ロ゜)ノ
wo    [呃~我……]σ(-_-メ)
wo    [我？]σ(· ·?)
wo    v(｡･ω･｡)
wo    σ（⌒ー⌒）
wo cuo le    (。﹏。*)
wo cuo le    (。﹏。*) 我错了……
wo hui lai la    ||ヽ(*￣▽￣*)ノミ|Ю
wo hui lai la    ||ヽ(*￣▽￣*)ノミ|Ю[我回来啦~]
wo lai le    ~(～￣▽￣)～
wo lai le    我来了~(～￣▽￣)～
wo qu    o(￣ヘ￣o＃)
wo quan    o(￣ヘ￣o* )[握拳!]
wo quan    o(￣ヘ￣o＃) 握拳！
wo shou    (≧∀≦*)ﾉ
wow    wow~ ⊙o⊙
wu     (,,•́ . •̀,,)
wu    ( T___T )
wu    (๑′°︿°๑)
wu    (｡•ㅅ•｡)♡
wu    ⊙﹏⊙
wu di    ↑↑↓↓←→←→ＢＡ...┗( -o-)┛
wu gu    （o´・ェ・｀o）
wu lian    (*/ω＼*)
wu lian    つ﹏⊂
wu nai    ╮(╯▽╰)╭
wu nai    ╯▂╰
wu nai    ╯︿╰
wu shi    (☆-ｖ-)
wu wu wu    ┭┮﹏┭┮
wu yan    (－∀＝)
wu yan    （＊￣（エ）￣）
xia    (*Φ皿Φ*)
xia    (☄⊙ω⊙)☄
xia    ↓
xiang    (╯▽╰ ) 好香~~
xiang shou    [享受](╯▽╰ )
xian zhuo    (／‵Д′)／~ ╧╧
xian zhuo    （╯‵□′）╯︵┴─┴
xian zhuo    （╯－＿－）╯╧╧
xiao    (^﹏^)"
xiao    (´･◡･｀)
xiao    ……o((≧▽≦o) 太好笑了！！
xiao    ≧▽≦
xiao    （*∩_∩*）
xiao    ＞▽＜
xiao    ＾▼＾
xiao hei wu    【小黑屋】ヽ(￣︿￣　)—C<(/;◇;)/
xiao hei wu    ヽ(￣︿￣　)—C<(/;◇;)/
xiao sheng    （*・・*）
xiao shi    [消失](*￣□￣)(￣□:;.…::;.:.:::;..::;.:...
xi bei feng    [喝西北风](　′Д`)彡
xie    谢啦!!☆⌒(*＾-゜)v
xie e    ( ‵▽′)ψ
xie xie    谢啦!!☆⌒(*＾-゜)v
xie y    ( ﹁ ﹁ ) ~→
xie yan    ( ﹁ ﹁ ) ~→
xie yan    (﹁"﹁)
xing fen    (p≧w≦q)
xing fu    o(*￣▽￣*)o
xing hao    ε=(￣。￣;A 呼~幸好幸好……
xing xing    ★
xing xing    ☆
xingxingyan    (☆ｗ☆)
xin shen bu ning    (゜゜ )心(。。)神(゜゜ )不(。。)宁"...
xin wei    ( ╯▽╰)
xin wei    ( ╯▽╰)[欣慰]
xiong    (*￣(エ)￣)
xiong    (+(工)+╬)
xiu    (◕ฺ‿◕ฺ✿ฺ)
xiu    d(∀｀d*)─(*b´∀)b
xiu    o(*////▽////*)q
xiu    p(#￣▽￣#)o
xiu    ◕ฺ‿◕ฺ✿ฺ)
ya    ٩(●˙▿˙●)۶
ya    （*≧ｍ≦*）
ya da    (≧∀≦*)ﾉ
yan jing    (-@y@)
yan mian    (*/ω＼*)
yan mian    (*/ω＼*)[脸红掩面]
yan shen    ━┳━　━┳━
yao ming yu guo jing ming    ( ˘•ω•˘ )ง⁽˙³˙⁾
ye    (*￣▽￣)y
ye    (*￣︶￣)y
ye    (＾－＾)V
ye    ^_^)y
ye    ∩__∩y耶~~^^
ye    ✌(◔౪◔)✌
ye    ヽ(✿ﾟ▽ﾟ)ノ
ye si    ( *⊙~⊙)
ye si    [噎死] ( *⊙~⊙)
yes sir    Yes,sir! <(￣O￣)/
ye zhu    [噎住] ( *⊙~⊙)
yi    (・∀・(・∀・(・∀・*)
yi    |ω･`)
ying ying ying    (┳＿┳)...
ying ying ying    /(ㄒoㄒ)/~~
yi qi    ヽ(￣ω￣(￣ω￣〃)ゝ
yi wen    ◎−◎？
yo    (＾Ｕ＾)ノ~ＹＯ
yo    (￣(エ)￣)ノ よー
you    →
you    ーー（＾Ｕ＾）ノーーＹＯ
you le    (o゜▽゜)o☆
you le    (o゜▽゜)o☆[有了!]
you pie    ━━┳　━━┳
you ren ma    ||o(*°▽°*)o|Ю [有人吗?]
yo xi    哟西！（９￣＾￣）９
yu    <。 )#)))≦
yuan    ○
yuan    ●
yuan lai    ('-'*)
yuan nian    o(一︿一+)o
yuan nian    o(一︿一+)o 怨.念....
yu gu tou    <*)>> >=<
yun    (((φ(◎ロ◎;)φ)))
yun    @_@
yun le    ( E___E )
zai jian    (*^-ﾟ)
zai jian    (。・_・)/~~~
zai jian    (。・_・)/~~~またね～
zai jian    (ﾟ∇^*)
zai jian    ┏(＾0＾)┛
zai jian    ヾ(*^▽^*)ノ"☆Bye ☆Bye
zai jian    ヾﾉ｡ÒㅅÓ)ﾉｼ
zai xiang    ( ' = ' )それは・・・・・ 考える　（＝＿＝）う～ん
zan    (((o(*ﾟ▽ﾟ*)o)))
zan cheng    o(*'▽'*)/
zao    ٩(๑`^´๑)۶
zao an    (朝´∀｀)｛♪Good Morning♪｝(´∀｀朝)
zao an    早安~~~ o(*￣▽￣*)ブ
zao dian hui lai    [早点回来哦~](～￣(OO)￣)ブ
zao gao    X﹏X
zao gao    X﹏X 糟糕！
zao shang hao    (( ((((((( ρ . - ) おはよう～
zao shang hao    (*´∀`)ノ
zen me    (　´∀｀)・ω・) ゜Д゜)・∀・)￣ー￣)
zha dan    (╯‵□′)╯炸弹！•••*～●
zhan    ˋ( ° ▽、° ) (o(￣▽￣///(斩!!)
zhang    (￣︶￣)↗
zha ya    *(｡◕‿-｡)"❤
zha yan    ο(=·ω＜=)ρ⌒☆[媚眼]
zhe    ((*・∀・）ゞ→→
zhen da    o(〃'▽'〃)o
zhen fen    (o>ε(o>ｕ(≧∩≦)
zheng yi    (′┏▽┓`●)
zhen hao    o(^▽^)o
zhen jing    (○´･д･)ﾉ
zhen zuo    ━━(o_ _)o━━(o―_―)o━━(９￣ー￣)９[振作!]
zhe yang a    (σ-σ)
zhe yang a    ━━┳━━゛_゛━━┳━━
zhe yang me    (=′ー`)
zhi    (﹁ ﹁ )σ[那边那个]
zhi    <(￣ ﹌ ￣)@m
zhou mei    _(:3」∠)_
zhu    [猪]^(*￣(oo)￣)^
zhu    ^(*￣(oo)￣)^
zhu    ^(oo)^ =(oo)=""" ~(oo)~
zhu a    W(￣_￣)W
zhuang qiang    ┳G┻F┳W┫☆(ノ﹏<。)
zhuang sha    * (￣▽￣)" ╮
zhuang sha    （～￣▽￣～）
zhua zi    ლ(❤◡❤ლ)
zhui    o(°▽、°o)....+((￣﹏￣m )~ 你给我回来！
zhui sha    --＝＝≡≡〈〈《( /￣皿￣)=Ｏ));>o<）/
zhui sha    o(°▽、°o)....+((￣﹏￣m )
zi lian    (◡ᴗ◡✿)
zi pai    *(੭*ˊᵕˋ)੭*ଘ
zi sha    …〒_〒…‵ｏ′-一┳═┻︻▄
zi sha    …〒_〒…‵ｏ′-一┳═┻︻▄［畏罪自杀…］
zou    ( ノ・ω・)ノ
zou    （￣︶￣）↗
zou la    ( ﾟдﾟ)つBye
zou ni    ( ☉_☉)≡☞o────★°
zou ni    O-(///￣皿￣)☞ ─═≡☆゜★█▇▆▅▄▃▂＿　
zou zhe    ٩( 'ω' )و
zou zhe    ᕕ( 'ω')ᕗ
zou zhe    ᕕ( ˙꒳​˙)ᕗ
zui jiao    (*ﾟｰﾟ)
zuo    ←
zuo meng    ZZzz…(。-ω-)..ooO((【·:*:~夢~:*:·】))
zuo pie    ┳━━　┳━━
